rank_id,gl,step,salary_per_annum_with_shift,salary_per_annum,monthly_salary,monthly_rent,shift_duty_allowance,domestic_servant,gross_emolument,tax,pension,nhf,total_deduction,net_pay
6,13,3,2436488.00,1969295.00,164107.92,30040.25,9792.50,,203940.67,17171.08,12308.09,4102.70,33581.87,170358.80
6,13,4,2490448.00,2008703.00,167391.92,31055.92,9989.50,,208437.34,17769.13,12554.39,4184.80,34508.32,173929.02
6,13,5,2544409.00,2048112.00,170676.00,32071.50,10186.58,,212934.08,18367.20,12800.70,4266.90,35434.80,177499.28
6,13,6,2598369.00,2087520.00,173960.00,33087.17,10383.58,,217430.75,18996.69,13047.00,4349.00,36392.69,181038.06
6,13,7,2652330.00,2126929.00,177244.08,34102.75,10580.67,,221927.50,19657.71,13293.31,4431.10,37382.12,184545.39
6,13,8,2706290.00,2166337.00,180528.08,35118.42,10777.67,,226424.17,20318.72,13539.61,4513.20,38371.53,188052.65
5,14,1,3088231.00,2494546.00,207878.83,37955.00,12418.75,,258252.58,24997.50,15590.91,5196.97,45785.38,212467.20
5,14,2,3164456.00,2547239.00,212269.92,39652.58,12682.17,,264604.67,25931.25,15920.24,5306.75,47158.24,217446.43
5,14,3,3240683.00,2599933.00,216661.08,41350.17,12945.67,,270956.92,26865.03,16249.58,5416.53,48531.14,222425.79
5,14,4,3316910.00,2652626.00,221052.17,43047.83,13209.17,,277309.17,27798.81,16578.91,5526.30,49904.03,227405.14
5,14,5,3393135.00,2705319.00,225443.25,44745.42,13472.58,,283661.25,28732.57,16908.24,5636.08,51276.90,232384.36
5,14,6,3469363.00,2758013.00,229834.42,46443.08,13736.08,,290013.58,29666.36,17237.58,5745.86,52649.80,237363.78
5,14,7,3545588.00,2810706.00,234225.50,48140.67,13999.50,,296365.67,30600.12,17566.91,5855.64,54022.67,242343.00
4,15,1,3393123.00,2709837.00,225819.75,44345.33,13495.17,,283660.25,28732.42,16936.48,5645.49,51314.40,232345.86
4,15,2,3484736.00,2773167.00,231097.25,46385.58,13811.83,,291294.66,29854.68,17332.29,5777.43,52964.41,238330.26
4,15,3,3576349.00,2836497.00,236374.75,48425.83,14128.50,,298929.08,30976.94,17728.11,5909.37,54614.42,244314.67
4,15,4,3667960.00,2899826.00,241652.17,50466.00,14445.17,,306563.34,32099.18,18123.91,6041.30,56264.40,250298.94
4,15,5,3759572.00,2963156.00,246929.67,52506.25,14761.75,,314197.67,33221.42,18519.73,6173.24,57914.39,256283.28
4,15,6,3851184.00,3026485.00,252207.08,54546.50,15078.42,,321832.00,34343.67,18915.53,6305.18,59564.38,262267.63
3,16,1,6394747.00,5456304.00,454692.00,51880.25,27227.50,,533799.75,68193.82,34101.90,11367.30,113663.02,420136.73
3,16,2,6540921.00,5567944.00,463995.33,54195.67,27785.75,,545976.75,70239.56,34799.65,11599.88,116639.09,429337.66
3,16,3,6693926.00,5686077.00,473839.75,56511.00,28376.42,,558727.17,72381.63,35537.98,11845.99,119765.61,438961.57
3,16,4,6840543.00,5798184.00,483182.00,58826.33,28936.92,,570945.25,74434.27,36238.65,12079.55,122752.47,448192.78
3,16,5,6990966.00,5913880.00,492823.33,61141.75,29515.42,,583480.50,76540.19,36961.75,12320.58,125822.52,457657.98
2,17,1,7849811.00,5297138.00,441428.17,0.00,0.00,85959.17,527387.33,101654.15,0.00,0.00,101654.15,425733.18
2,17,2,9361196.00,6394700.00,532891.67,0.00,0.00,85959.17,618850.83,122195.77,0.00,0.00,122195.77,496655.06
2,17,3,10867833.00,7489376.00,624114.67,0.00,0.00,85959.17,710073.83,142671.69,0.00,0.00,142671.69,567402.14
2,17,4,12378808.00,8586500.00,715541.67,0.00,0.00,85959.17,801500.83,163208.04,0.00,0.00,163208.04,638292.79
1,18,1,9472481.00,6420218.00,535018.17,0.00,0.00,105381.92,640400.08,123823.48,0.00,0.00,123823.48,516576.60
1,18,2,10984171.00,7518101.00,626508.42,0.00,0.00,105381.92,731890.33,144369.04,0.00,0.00,144369.04,587521.29
1,18,3,12489418.00,8611693.00,717641.08,0.00,0.00,105381.92,823023.00,164826.22,0.00,0.00,164826.22,658196.78
1,18,4,14001475.00,9709333.00,809111.08,0.00,0.00,105381.92,914493.00,185377.84,0.00,0.00,185377.84,729115.16
